timestamp,home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,new_device,ip_country,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,is_fraud,hour,day_of_week,is_weekend,month,late_night_hours,amount_high,high_ip_risk,low_device_trust,new_account,very_new_account,velocity_spike
2022-10-03 18:40:59.468549+00:00,us,USD,CAD,atm,278.19,278.19,4.25,False,us,False,0.123,standard,263,0.522,0.223,0,0,0.0,0,18,0,0,10,0,0,0,1,0,1,0
2022-10-03 20:39:38.468549+00:00,ca,CAD,MXN,web,208.51,154.29,4.24,True,ca,False,0.569,standard,947,0.475,0.268,0,1,0.0,0,20,0,0,10,0,0,0,0,0,1,0
2022-10-03 23:02:43.468549+00:00,us,USD,CNY,mobile,160.33,160.33,2.7,False,us,False,0.437,enhanced,367,0.939,0.176,0,0,0.0,0,23,0,0,10,0,0,0,1,0,1,0
2022-10-04 01:08:53.468549+00:00,us,USD,EUR,mobile,59.41,59.41,2.22,False,us,False,0.594,standard,147,0.551,0.391,0,0,0.0,0,1,1,0,10,0,0,0,1,0,1,0
2022-10-04 09:35:03.468549+00:00,us,USD,INR,mobile,200.96,200.96,3.61,False,us,False,0.121,enhanced,257,0.894,0.257,0,0,0.0,0,9,1,0,10,0,0,0,1,0,1,0
2022-10-04 12:09:59.468549+00:00,us,USD,GBP,mobile,526.9,526.9,8.75,False,us,False,0.094,low,616,0.702,0.361,0,0,0.0,0,12,1,0,10,0,0,0,1,0,1,0
2022-10-04 12:37:41.468549+00:00,ca,CAD,GBP,mobile,149.24,110.44,2.33,False,ca,False,0.299,standard,947,0.625,0.268,0,0,0.0,0,12,1,0,10,0,0,0,1,0,1,0
2022-10-04 16:27:44.468549+00:00,ca,CAD,INR,web,276.51,204.62,5.59,False,ca,False,0.087,standard,1041,0.867,0.245,0,1,0.12,0,16,1,0,10,0,0,0,1,0,1,0
2022-10-04 21:00:36.468549+00:00,us,USD,EUR,mobile,99.52,99.52,2.41,False,us,False,0.182,enhanced,367,0.939,0.176,0,0,0.0,0,21,1,0,10,0,0,0,1,0,1,0
2022-10-04 21:20:42.468549+00:00,us,USD,PHP,web,302.55,302.55,5.26,False,us,False,0.413,standard,1016,0.944,0.247,0,0,0.1,1,21,1,0,10,0,0,0,1,0,1,0
2022-10-04 22:18:42.468549+00:00,us,USD,NGN,mobile,187.84,187.84,3.14,False,us,False,0.318,enhanced,257,0.894,0.257,0,0,0.25,0,22,1,0,10,0,0,0,1,0,1,0
2022-10-04 22:54:28.468549+00:00,us,USD,USD,mobile,9998.43,9998.43,151.63,False,us,False,0.254,standard,1018,0.934,0.087,0,0,0.0,0,22,1,0,10,0,1,0,1,0,1,0
2022-10-05 00:57:43.468549+00:00,us,USD,CNY,web,171.86,171.86,2.96,False,us,False,0.109,standard,298,0.336,0.166,0,0,0.0,0,0,2,0,10,0,0,0,0,0,1,0
2022-10-05 13:34:02.468549+00:00,us,USD,INR,atm,87.81,87.81,2.4,True,us,False,0.151,standard,147,0.401,0.391,0,1,0.0,0,13,2,0,10,0,0,0,0,0,1,0
2022-10-05 15:32:41.468549+00:00,us,USD,CAD,web,9991.85,9991.85,151.39,False,us,False,0.423,enhanced,257,0.894,0.257,0,0,0.0,0,15,2,0,10,0,1,0,1,0,1,0
2022-10-05 17:13:30.468549+00:00,us,USD,GBP,mobile,309.39,309.39,5.54,False,us,False,0.329,standard,1016,0.944,0.247,0,0,0.0,0,17,2,0,10,0,0,0,1,0,1,0
2022-10-05 19:41:37.468549+00:00,us,USD,MXN,web,260.49,260.49,4.85,False,us,False,0.316,enhanced,367,0.939,0.176,0,0,0.2,0,19,2,0,10,0,0,0,1,0,1,0
2022-10-05 22:10:20.468549+00:00,us,USD,GBP,mobile,87.5,87.5,2.31,True,us,False,0.24,standard,1018,0.784,0.087,0,0,0.0,0,22,2,0,10,0,0,0,1,0,1,0
2022-10-06 01:21:47.468549+00:00,us,USD,NGN,mobile,254.76,254.76,4.75,False,uk,True,0.448,standard,298,0.336,0.166,0,0,0.25,0,1,3,0,10,0,0,0,0,0,1,0
2022-10-06 04:25:15.468549+00:00,us,USD,CAD,mobile,326.05,326.05,5.85,False,us,False,0.066,standard,263,0.522,0.223,0,0,0.0,0,4,3,0,10,1,0,0,1,0,1,0
2022-10-06 07:10:30.468549+00:00,ca,CAD,NGN,atm,293.42,217.13,5.81,True,ca,False,0.366,standard,853,0.68,0.29,0,0,0.0,0,7,3,0,10,1,0,0,1,0,1,0
2022-10-06 07:38:34.468549+00:00,us,USD,NGN,web,208.25,208.25,4.3,False,ca,True,0.29,enhanced,367,0.939,0.176,0,0,0.25,0,7,3,0,10,1,0,0,1,0,1,0
2022-10-06 07:40:57.468549+00:00,us,USD,NGN,web,121.71,121.71,3.06,True,us,False,0.15,standard,298,0.186,0.166,0,0,0.25,0,7,3,0,10,1,0,0,0,0,1,0
2022-10-06 08:10:10.468549+00:00,us,USD,GBP,mobile,39.5,39.5,1.3,False,us,False,0.291,standard,1018,0.934,0.087,0,0,0.0,0,8,3,0,10,0,0,0,1,0,1,0
2022-10-06 09:34:57.468549+00:00,us,USD,USD,mobile,121.06,121.06,3.04,False,us,False,0.163,standard,147,0.551,0.391,0,0,0.0,0,9,3,0,10,0,0,0,1,0,1,0
2022-10-06 10:06:36.468549+00:00,us,USD,CAD,mobile,204.53,204.53,4.61,False,us,False,0.194,standard,263,0.522,0.223,0,0,0.0,0,10,3,0,10,0,0,0,1,0,1,0
2022-10-06 11:15:12.468549+00:00,ca,CAD,CNY,web,76.26,56.43,3.89,False,ca,False,0.424,standard,1041,0.867,0.245,0,0,0.0,0,11,3,0,10,0,0,0,1,0,1,0
2022-10-06 18:00:46.468549+00:00,ca,CAD,MXN,mobile,149.15,110.37,3.63,False,ca,False,0.554,standard,366,0.662,0.225,0,0,0.0,0,18,3,0,10,0,0,0,1,0,1,0
2022-10-06 19:02:12.468549+00:00,us,USD,GBP,web,46.16,46.16,1.0,False,us,False,0.41,standard,1018,0.934,0.087,0,0,0.0,0,19,3,0,10,0,0,0,1,0,1,0
2022-10-06 19:48:22.468549+00:00,us,USD,NGN,mobile,97.81,97.81,3.11,False,us,False,0.647,standard,147,0.551,0.391,0,0,0.25,0,19,3,0,10,0,0,0,1,0,1,0
2022-10-07 00:53:02.468549+00:00,us,USD,CAD,mobile,150.59,150.59,3.38,False,ca,True,0.27,standard,1016,0.944,0.247,0,0,0.0,0,0,4,0,10,0,0,0,1,0,1,0
2022-10-07 08:31:21.468549+00:00,us,USD,USD,mobile,232.66,232.66,4.31,False,us,False,0.271,standard,263,0.522,0.223,0,0,0.0,0,8,4,0,10,0,0,0,1,0,1,0
2022-10-07 08:48:11.468549+00:00,us,USD,GBP,atm,91.61,91.61,1.63,False,us,False,0.537,standard,263,0.522,0.223,0,0,0.0,0,8,4,0,10,0,0,0,1,0,1,0
2022-10-07 09:07:42.468549+00:00,us,USD,USD,mobile,61.27,61.27,1.79,False,us,False,0.223,enhanced,367,0.939,0.176,0,0,0.0,0,9,4,0,10,0,0,0,1,0,1,0
2022-10-07 10:10:25.468549+00:00,ca,CAD,CNY,web,146.2,108.19,2.67,False,ca,False,0.258,standard,172,0.881,0.199,0,0,0.0,0,10,4,0,10,0,0,0,1,0,1,0
2022-10-07 11:46:35.468549+00:00,uk,GBP,GBP,mobile,291.49,364.36,4.34,False,uk,False,0.064,standard,4,0.892,0.407,0,0,0.0,0,11,4,0,10,0,0,0,1,0,0,0
2022-10-07 15:52:25.468549+00:00,us,USD,EUR,mobile,307.68,307.68,5.25,False,us,False,0.931,standard,263,0.522,0.223,0,0,0.0,0,15,4,0,10,0,0,1,1,0,1,0
2022-10-07 16:33:27.468549+00:00,uk,GBP,PHP,web,93.99,117.49,2.15,False,uk,False,0.197,standard,4,0.892,0.407,0,0,0.0,0,16,4,0,10,0,0,0,1,0,0,0
2022-10-08 00:05:48.468549+00:00,uk,GBP,EUR,mobile,126.01,157.51,3.4,False,uk,False,0.483,standard,4,0.892,0.407,0,0,0.05,0,0,5,1,10,0,0,0,1,0,0,0
2022-10-08 01:50:06.468549+00:00,ca,CAD,GBP,atm,115.49,85.46,3.2,False,ca,False,0.392,standard,853,0.83,0.29,0,0,0.0,0,1,5,1,10,0,0,0,1,0,1,0
2022-10-08 03:10:02.468549+00:00,uk,GBP,USD,web,46.51,58.14,1.72,False,uk,False,0.368,standard,4,0.892,0.407,0,1,0.0,0,3,5,1,10,1,0,0,1,0,0,0
2022-10-08 07:56:33.468549+00:00,us,USD,EUR,mobile,179.75,179.75,3.7,False,us,False,0.169,standard,1016,0.944,0.247,0,0,0.0,0,7,5,1,10,1,0,0,1,0,1,0
2022-10-08 08:19:24.468549+00:00,us,USD,USD,web,254.28,254.28,4.22,True,us,False,0.378,standard,1018,0.784,0.087,0,0,0.0,0,8,5,1,10,0,0,0,1,0,1,0
2022-10-08 13:33:03.468549+00:00,us,USD,USD,mobile,102.54,102.54,2.65,False,uk,True,0.478,enhanced,367,0.939,0.176,0,0,0.0,0,13,5,1,10,0,0,0,1,0,1,0
2022-10-08 14:19:34.468549+00:00,uk,GBP,EUR,web,146.41,183.02,3.23,False,us,True,0.336,standard,4,0.892,0.407,0,0,0.05,1,14,5,1,10,0,0,0,1,0,0,0
2022-10-08 15:47:11.468549+00:00,us,USD,CNY,mobile,400.46,400.46,6.69,False,us,False,0.199,standard,147,0.551,0.391,0,1,0.0,0,15,5,1,10,0,0,0,1,0,1,0
2022-10-08 16:11:22.468549+00:00,us,USD,PHP,mobile,240.72,240.72,4.18,False,us,False,0.289,standard,147,0.551,0.391,0,0,0.1,0,16,5,1,10,0,0,0,1,0,1,0
2022-10-08 22:50:04.468549+00:00,uk,GBP,CAD,web,93.5,116.87,3.36,False,uk,False,0.42,standard,4,0.892,0.407,0,0,0.0,0,22,5,1,10,0,0,0,1,0,0,0
2022-10-09 12:35:28.468549+00:00,us,USD,EUR,mobile,1071.92,1071.92,17.53,False,us,False,0.228,standard,298,0.336,0.166,0,0,0.0,0,12,6,1,10,0,1,0,0,0,1,0
2022-10-09 13:13:09.468549+00:00,ca,CAD,CNY,web,9997.3,7398.0,151.89,False,ca,False,0.108,enhanced,63,0.853,0.13,0,0,0.0,0,13,6,1,10,0,1,0,1,1,1,0
2022-10-09 13:43:14.468549+00:00,ca,CAD,USD,web,314.46,232.7,5.88,False,ca,False,0.583,standard,947,0.625,0.268,0,0,0.0,0,13,6,1,10,0,0,0,1,0,1,0
2022-10-09 14:04:43.468549+00:00,uk,GBP,GBP,mobile,925.39,1156.74,14.22,False,uk,False,0.267,standard,4,0.892,0.407,0,0,0.0,0,14,6,1,10,0,1,0,1,0,0,0
2022-10-09 18:22:26.468549+00:00,ca,CAD,PHP,web,115.25,85.28,3.0,False,ca,False,0.468,low,615,0.515,0.355,0,0,0.0,0,18,6,1,10,0,0,0,1,0,1,0
2022-10-09 20:21:25.468549+00:00,us,USD,GBP,mobile,152.75,152.75,3.35,False,us,False,0.328,standard,263,0.522,0.223,5,5,0.0,0,20,6,1,10,0,0,0,1,0,1,1
2022-10-10 08:15:05.468549+00:00,us,USD,USD,web,71.62,71.62,2.69,False,us,False,0.129,standard,1016,0.944,0.247,0,0,0.0,0,8,0,0,10,0,0,0,1,0,1,0
2022-10-10 09:26:44.468549+00:00,us,USD,NGN,mobile,509.65,509.65,9.13,False,us,False,0.504,standard,147,0.551,0.391,0,0,0.25,0,9,0,0,10,0,0,0,1,0,1,0
2022-10-10 20:33:00.468549+00:00,uk,GBP,CAD,atm,111.18,138.97,2.66,True,uk,False,0.327,standard,4,0.742,0.407,0,0,0.0,0,20,0,0,10,0,0,0,1,0,0,0
2022-10-11 01:41:19.468549+00:00,uk,GBP,MXN,mobile,499.76,624.7,7.42,False,uk,False,0.31,standard,4,0.892,0.407,7,7,0.0,0,1,1,0,10,0,0,0,1,0,0,1
2022-10-11 05:06:23.468549+00:00,us,USD,CAD,web,442.22,442.22,7.36,False,us,False,0.395,standard,830,0.799,0.102,0,0,0.0,0,5,1,0,10,1,0,0,1,0,1,0
2022-10-11 05:25:12.468549+00:00,us,USD,EUR,web,158.26,158.26,2.85,False,us,False,0.568,standard,263,0.522,0.223,0,0,0.0,0,5,1,0,10,1,0,0,1,0,1,0
2022-10-11 06:00:55.468549+00:00,uk,GBP,EUR,mobile,168.22,210.28,3.54,True,uk,False,0.973,standard,4,0.742,0.407,0,0,0.05,0,6,1,0,10,1,0,1,1,0,0,0
2022-10-11 07:05:00.468549+00:00,us,USD,CNY,mobile,147.9,147.9,2.07,False,us,False,0.394,standard,263,0.522,0.223,0,0,0.0,0,7,1,0,10,1,0,0,1,0,1,0
2022-10-11 08:50:19.468549+00:00,us,USD,GBP,mobile,42.13,42.13,2.02,False,us,False,0.2,standard,1016,0.944,0.247,0,0,0.0,0,8,1,0,10,0,0,0,1,0,1,0
2022-10-11 12:43:29.468549+00:00,us,USD,INR,mobile,144.6,144.6,3.6,False,us,False,0.235,standard,1018,0.934,0.087,0,0,0.0,0,12,1,0,10,0,0,0,1,0,1,0
2023-01-14 15:40:15.468549+00:00,ca,CAD,CNY,mobile,300.19,222.14,5.1,False,ca,False,0.599,low,615,0.515,0.355,0,0,0.0,0,15,5,1,1,0,0,0,1,0,1,0
2022-10-11 16:07:45.468549+00:00,us,USD,PHP,web,103.83,103.83,1.67,False,us,False,0.341,standard,298,0.336,0.166,0,0,0.1,0,16,1,0,10,0,0,0,0,0,1,0
2022-10-11 16:15:46.468549+00:00,us,USD,CAD,mobile,117.63,117.63,3.7,False,us,False,0.269,standard,298,0.336,0.166,0,0,0.0,0,16,1,0,10,0,0,0,0,0,1,0
2022-10-11 16:18:27.468549+00:00,ca,CAD,GBP,web,232.19,171.82,4.54,False,ca,False,0.194,standard,564,0.658,0.4,0,0,0.0,0,16,1,0,10,0,0,0,1,0,1,0
2022-10-11 16:53:00.468549+00:00,us,USD,GBP,mobile,183.95,183.95,3.2,False,us,False,0.137,enhanced,367,0.939,0.176,0,0,0.0,0,16,1,0,10,0,0,0,1,0,1,0
2022-10-11 22:21:22.468549+00:00,us,USD,USD,atm,125.6,125.6,3.24,False,us,False,0.422,enhanced,257,0.894,0.257,0,0,0.0,0,22,1,0,10,0,0,0,1,0,1,0
2022-10-11 23:39:22.468549+00:00,us,USD,PHP,mobile,147.99,147.99,3.82,False,ca,True,0.416,enhanced,257,0.894,0.257,0,0,0.1,0,23,1,0,10,0,0,0,1,0,1,0
2022-10-12 03:49:06.468549+00:00,uk,GBP,PHP,web,193.57,241.96,3.76,True,uk,False,0.366,standard,4,0.742,0.407,0,0,0.0,0,3,2,0,10,1,0,0,1,0,0,0
2022-10-12 04:11:47.468549+00:00,us,USD,CNY,web,57.84,57.84,2.75,True,us,False,0.337,enhanced,257,0.744,0.257,0,1,0.0,0,4,2,0,10,1,0,0,1,0,1,0
2022-10-12 09:27:22.468549+00:00,us,USD,MXN,atm,55.96,55.96,1.7,False,us,False,0.254,standard,830,0.799,0.102,0,0,0.2,0,9,2,0,10,0,0,0,1,0,1,0
2022-10-12 14:25:16.468549+00:00,ca,CAD,GBP,web,72.1,53.35,1.14,False,ca,False,0.236,low,615,0.515,0.355,0,0,0.0,0,14,2,0,10,0,0,0,1,0,1,0
2022-10-12 15:36:15.468549+00:00,us,USD,CNY,mobile,121.49,121.49,2.31,False,us,False,0.413,standard,147,0.551,0.391,0,0,0.0,0,15,2,0,10,0,0,0,1,0,1,0
2022-10-13 00:56:51.468549+00:00,us,USD,PHP,web,238.54,238.54,5.12,False,uk,True,0.417,low,616,0.702,0.361,0,0,0.1,0,0,3,0,10,0,0,0,1,0,1,0
2022-10-13 03:17:46.468549+00:00,us,USD,CNY,atm,385.27,385.27,7.05,False,us,False,0.458,enhanced,367,0.939,0.176,0,0,0.0,0,3,3,0,10,1,0,0,1,0,1,0
2022-10-13 04:26:51.468549+00:00,us,USD,EUR,mobile,92.88,92.88,1.62,False,us,False,0.148,standard,298,0.336,0.166,0,0,0.0,0,4,3,0,10,1,0,0,0,0,1,0
2022-10-13 19:43:56.468549+00:00,us,USD,CAD,web,191.16,191.16,3.9,False,us,False,0.529,low,415,0.568,0.304,0,0,0.0,0,19,3,0,10,0,0,0,1,0,1,0
2022-10-14 05:25:12.468549+00:00,ca,CAD,INR,mobile,113.48,83.97,1.99,False,ca,False,0.147,low,824,0.607,0.282,0,0,0.12,0,5,4,0,10,1,0,0,1,0,1,0
2022-10-14 06:50:13.468549+00:00,us,USD,PHP,mobile,17.54,17.54,1.04,False,us,False,0.195,standard,263,0.522,0.223,0,0,0.1,0,6,4,0,10,1,0,0,1,0,1,0
2022-10-14 11:22:29.468549+00:00,us,USD,PHP,mobile,9993.4,9993.4,150.43,False,us,False,0.205,standard,298,0.336,0.166,0,0,0.1,0,11,4,0,10,0,1,0,0,0,1,0
2022-10-14 17:11:59.468549+00:00,uk,GBP,GBP,mobile,155.05,193.81,3.33,False,uk,False,0.402,standard,4,0.892,0.407,0,0,0.0,0,17,4,0,10,0,0,0,1,0,0,0
2022-10-14 18:30:45.468549+00:00,us,USD,INR,mobile,1218.1,1218.1,19.59,False,us,False,0.516,low,616,0.702,0.361,0,0,0.0,0,18,4,0,10,0,1,0,1,0,1,0
2022-10-14 21:02:33.468549+00:00,us,USD,PHP,web,90.3,90.3,2.01,False,us,False,0.255,enhanced,367,0.939,0.176,0,1,0.1,0,21,4,0,10,0,0,0,1,0,1,0
2022-10-15 04:49:20.468549+00:00,ca,CAD,CNY,web,506.98,375.17,8.93,False,ca,False,0.303,standard,272,0.792,0.048,0,0,0.0,1,4,5,1,10,1,0,0,1,0,1,0
2022-10-15 07:24:15.468549+00:00,us,USD,USD,mobile,246.2,246.2,3.7,False,us,False,0.669,standard,263,0.522,0.223,0,0,0.0,0,7,5,1,10,1,0,0,1,0,1,0
2022-10-15 08:10:39.468549+00:00,us,USD,NGN,web,33.26,33.26,1.52,False,us,False,0.222,standard,1016,0.944,0.247,0,0,0.25,0,8,5,1,10,0,0,0,1,0,1,0
2022-10-15 08:37:45.468549+00:00,us,USD,PHP,mobile,176.05,176.05,3.88,False,us,False,0.359,enhanced,367,0.939,0.176,0,0,0.1,0,8,5,1,10,0,0,0,1,0,1,0
2022-10-15 15:19:05.468549+00:00,us,USD,USD,web,43.66,43.66,1.68,False,us,False,0.392,standard,263,0.522,0.223,0,0,0.0,0,15,5,1,10,0,0,0,1,0,1,0
2022-10-15 18:00:28.468549+00:00,us,USD,USD,web,208.98,208.98,5.02,False,us,False,0.253,standard,298,0.336,0.166,0,0,0.0,0,18,5,1,10,0,0,0,0,0,1,0
2022-10-15 18:10:07.468549+00:00,us,USD,CAD,web,75.74,75.74,2.78,True,us,False,0.159,standard,263,0.372,0.223,0,0,0.0,0,18,5,1,10,0,0,0,0,0,1,0
2022-10-15 18:35:54.468549+00:00,us,USD,PHP,mobile,766.16,766.16,12.43,True,ca,True,0.379,enhanced,257,0.744,0.257,0,0,0.1,0,18,5,1,10,0,0,0,1,0,1,0
2022-10-15 18:38:34.468549+00:00,uk,GBP,GBP,web,224.27,280.34,5.04,False,uk,False,0.94,low,454,0.71,0.238,3,3,0.0,0,18,5,1,10,0,0,1,1,0,1,1
2022-10-15 20:55:07.468549+00:00,us,USD,MXN,mobile,86.49,86.49,1.56,False,us,False,0.518,standard,298,0.336,0.166,0,0,0.2,0,20,5,1,10,0,0,0,0,0,1,0
2022-10-15 21:01:24.468549+00:00,us,USD,GBP,mobile,110.58,110.58,2.57,False,us,False,0.076,standard,298,0.336,0.166,0,0,0.0,0,21,5,1,10,0,0,0,0,0,1,0
2022-10-16 00:40:06.468549+00:00,us,USD,EUR,web,22.9,22.9,1.21,False,us,False,0.062,standard,263,0.522,0.223,0,0,0.0,0,0,6,1,10,0,0,0,1,0,1,0
2022-10-16 02:27:18.468549+00:00,us,USD,PHP,mobile,260.98,260.98,5.08,False,us,False,0.056,standard,298,0.336,0.166,0,0,0.1,0,2,6,1,10,0,0,0,0,0,1,0
2022-10-16 02:33:56.468549+00:00,ca,CAD,NGN,mobile,224.97,166.48,4.64,False,ca,False,0.204,standard,385,0.75,0.229,0,0,0.0,0,2,6,1,10,0,0,0,1,0,1,0
2022-10-16 11:57:29.468549+00:00,us,USD,CAD,mobile,137.33,137.33,3.38,False,us,False,0.396,enhanced,661,0.92,0.259,0,0,0.0,0,11,6,1,10,0,0,0,1,0,1,0
2022-10-16 13:54:37.468549+00:00,ca,CAD,INR,atm,151.84,112.36,2.92,False,ca,False,0.361,standard,725,0.824,0.212,0,0,0.12,0,13,6,1,10,0,0,0,1,0,1,0
2022-10-16 14:27:51.468549+00:00,ca,CAD,CAD,web,54.01,39.97,1.97,False,ca,False,0.607,low,615,0.515,0.355,0,0,0.0,0,14,6,1,10,0,0,0,1,0,1,0
2022-10-16 21:28:49.468549+00:00,us,USD,PHP,atm,49.11,49.11,2.3,True,us,False,0.219,standard,1016,0.794,0.247,0,0,0.1,0,21,6,1,10,0,0,0,1,0,1,0
